,DP05_0001E,state,county,tract,DP02_0001E,DP03_0062E,DP03_0063E,DP03_0119E
114,3194,17,031,070600,1201,250001,346667,-888888888
115,3741,17,031,070700,1692,160000,229087,-888888888
116,4525,17,031,071000,996,202115,298105,-888888888
117,3186,17,031,071100,1091,206304,330664,-888888888
118,2386,17,031,071200,1118,125581,202944,-888888888
119,4129,17,031,071300,2152,118878,197805,-888888888
120,4763,17,031,071400,2951,118295,184990,-888888888
121,5991,17,031,071500,3678,115993,164803,-888888888
122,1903,17,031,071600,742,230313,349081,-888888888
123,1485,17,031,071700,585,149625,245010,-888888888
124,2726,17,031,071800,1083,211964,355126,-888888888
125,6607,17,031,080100,4209,114681,192134,-888888888
126,3236,17,031,080201,2330,112708,200913,-888888888
127,3800,17,031,080202,2649,103948,199829,-888888888
128,5836,17,031,080300,3063,157112,189349,-888888888
129,4888,17,031,080400,2110,-666666666,179702,-888888888
130,8150,17,031,081000,5052,79556,112652,-888888888
131,4455,17,031,081100,2999,82039,121048,-888888888
132,4428,17,031,081201,2881,128955,190691,-888888888
133,3437,17,031,081202,2038,177619,273724,-888888888
134,6014,17,031,081300,3783,116424,179727,-888888888
135,2171,17,031,081401,1452,74432,145520,-888888888
136,5942,17,031,081402,3462,159026,241412,-888888888
137,8987,17,031,081403,6371,114052,166554,-888888888
138,4906,17,031,081500,3365,151626,240682,-888888888
139,3725,17,031,081600,2521,157623,183595,-888888888
140,5217,17,031,081700,3535,132903,164363,-888888888
141,12213,17,031,081800,7384,164091,227569,-888888888
142,1111,17,031,081900,635,195083,242954,-888888888
143,3526,17,031,090100,1386,124667,129100,-888888888
144,6505,17,031,090200,2619,119421,152938,-888888888
145,1371,17,031,090300,510,107639,125291,-888888888
146,5890,17,031,100100,2145,109111,117486,-888888888
147,7564,17,031,100200,2851,107850,131948,-888888888
148,6447,17,031,100300,2659,83271,110106,-888888888
149,3325,17,031,100400,1276,143137,141823,-888888888
150,5814,17,031,100500,2357,109564,140222,-888888888
151,4914,17,031,100600,1870,84000,114887,-888888888
152,5372,17,031,100700,1885,117240,124852,-888888888
153,5776,17,031,110100,2252,96514,110934,-888888888
154,2821,17,031,110200,1302,68824,91851,-888888888
155,5304,17,031,110300,1774,115833,111041,-888888888
156,4501,17,031,110400,1925,81250,98951,-888888888
157,5097,17,031,110501,1939,101220,112742,-888888888
158,3533,17,031,110502,1549,71440,97917,-888888888
159,4400,17,031,120100,1491,160461,218091,-888888888
160,4573,17,031,120200,1746,149306,166311,-888888888
161,7046,17,031,120300,2542,140988,232582,-888888888
162,3836,17,031,120400,1254,111750,142841,-888888888
163,4895,17,031,130100,1752,58068,102310,-888888888
164,1545,17,031,130200,711,104107,117897,-888888888
165,5040,17,031,130300,1792,66154,91619,-888888888
166,3520,17,031,140100,1195,86795,103063,-888888888
167,6603,17,031,140200,1953,72629,82870,-888888888
168,2908,17,031,140301,905,69712,76941,-888888888
169,3311,17,031,140302,1323,62478,85993,-888888888
170,5911,17,031,140400,2100,93036,129378,-888888888
171,3171,17,031,140500,1322,73273,108182,-888888888
172,2762,17,031,140601,826,87045,112991,-888888888
173,4703,17,031,140602,1723,59962,80408,-888888888
174,2990,17,031,140701,1087,92212,98151,-888888888
175,5572,17,031,140702,2106,73571,110413,-888888888
176,6212,17,031,140800,2538,97722,131776,-888888888
177,7263,17,031,150200,2684,91038,117246,-888888888
178,7272,17,031,150300,3077,86290,110770,-888888888
179,5146,17,031,150401,1824,77908,100192,-888888888
180,3945,17,031,150402,1348,97986,110518,-888888888
181,3854,17,031,150501,1496,122434,133180,-888888888
182,3953,17,031,150502,1536,72500,98137,-888888888
183,4223,17,031,150600,1432,81923,94825,-888888888
184,4453,17,031,150700,1382,100862,110148,-888888888
185,4668,17,031,150800,1618,85714,107816,-888888888
186,2816,17,031,151001,886,93879,100251,-888888888
187,4892,17,031,151002,1572,75893,100403,-888888888
188,5447,17,031,151100,1855,77521,95330,-888888888
189,4057,17,031,151200,1334,88939,93437,-888888888
190,2757,17,031,160100,1024,107137,125690,-888888888
191,3356,17,031,160200,1276,124364,163557,-888888888
192,3685,17,031,160300,1883,77721,102349,-888888888
193,5171,17,031,160400,2101,72325,98658,-888888888
194,3270,17,031,160501,1312,73946,95686,-888888888
195,4012,17,031,160502,1542,100147,125006,-888888888
196,3003,17,031,160601,1488,83333,109657,-888888888
197,3757,17,031,160602,1576,84955,113193,-888888888
198,6265,17,031,160700,2460,92614,129645,-888888888
199,5236,17,031,160800,1863,82691,100592,-888888888
200,2420,17,031,160900,1089,114861,146812,-888888888
201,1986,17,031,161000,800,102159,164450,-888888888
202,2024,17,031,161100,758,158393,205406,-888888888
203,2873,17,031,161200,1097,70391,93710,-888888888
204,3769,17,031,161300,1557,53969,70241,-888888888
205,2030,17,031,170100,1146,46571,62674,-888888888
206,3752,17,031,170200,1216,105855,112314,-888888888
207,4981,17,031,170300,1821,85774,113125,-888888888
208,3989,17,031,170400,1666,103016,109344,-888888888
209,5161,17,031,170500,2066,87786,105234,-888888888
210,2490,17,031,170600,948,76346,112452,-888888888
211,3260,17,031,170700,1167,82868,81469,-888888888
212,4009,17,031,170800,1461,64769,99394,-888888888
213,1970,17,031,170900,652,68500,78931,-888888888
214,6829,17,031,171000,2751,81950,101215,-888888888
215,4103,17,031,171100,1305,92383,106488,-888888888
216,6544,17,031,180100,2198,83920,110371,-888888888
217,2338,17,031,190100,808,61250,72612,-888888888
218,5858,17,031,190200,1599,80576,100344,-888888888
219,5289,17,031,190300,2008,69309,78519,-888888888
220,4119,17,031,190401,1278,92639,111462,-888888888
221,4896,17,031,190402,1783,56523,72158,-888888888
222,3986,17,031,190601,998,71176,89666,-888888888
223,5554,17,031,190602,1587,61308,77241,-888888888
224,2835,17,031,190701,866,64063,76547,-888888888
225,4707,17,031,190702,1505,50457,77791,-888888888
226,6049,17,031,190800,1974,52404,71172,-888888888
227,1869,17,031,190900,616,61500,61613,-888888888
228,2556,17,031,191000,766,63611,74011,-888888888
229,6651,17,031,191100,1950,50513,64241,-888888888
230,3775,17,031,191200,1099,57292,67755,-888888888
231,5211,17,031,191301,1617,55759,78903,-888888888
232,4439,17,031,191302,1207,55072,79605,-888888888
233,3666,17,031,200100,1298,68393,87577,-888888888
234,4435,17,031,200200,1638,64583,76811,-888888888
235,1866,17,031,200300,693,50515,70605,-888888888
236,3408,17,031,200401,957,70046,91476,-888888888
237,5072,17,031,200402,1319,77288,89666,-888888888
238,4194,17,031,210100,1714,107717,146036,-888888888
239,2491,17,031,210400,856,63077,88720,-888888888
240,2866,17,031,210501,1450,61678,80037,-888888888
241,4412,17,031,210502,1528,74855,101125,-888888888
242,2818,17,031,210601,1110,93547,130631,-888888888
243,4362,17,031,210602,1643,102625,113982,-888888888
244,3724,17,031,210700,1470,93026,115163,-888888888
245,1142,17,031,210800,440,96579,115574,-888888888
246,3174,17,031,210900,1487,109844,134506,-888888888
247,1998,17,031,220300,897,100461,126800,-888888888
248,2670,17,031,220400,1199,114803,172177,-888888888
249,2810,17,031,220500,1331,94867,125174,-888888888
250,1538,17,031,220601,738,120427,143845,-888888888
251,4316,17,031,220602,2587,61875,95281,-888888888
252,3077,17,031,220701,1167,75625,93474,-888888888
